specimen,plant_name,country,fst_political,snd_political,locality,habitat,elevation,latitude_decimal,longitude_decimal,collector,collector_number,collection_date,specimen_data,MO,NY,F,US,UC,RSA,GH,L,K,E,GOET,BR,LIL,CORD,CTES,SP,RB,REU,ANDES,SPF,CONC,SI,MOLF,LPB,USZ
FZ512,Escallonia rosea Griseb.,Chile,Los Lagos,Osorno,"Parque Nacional Puyehue, camino a volcán Antillanca, Laguna del Toro","A orillas de la laguna. Con Fuchsia, Nothofagus, Chusquea, Juncaceae",720,-40.7702777777778,-72.2713888888889,"F. Zapata, S. Sede",512,1-Feb-2008,"Arbusto 2 m, flores blancas! (muy raro en E rosea)",1,,,,,,,,,,,,,,,,,,,,1,,,,
FZ527,Escallonia rosea Griseb.,Chile,Los Ríos,La Unión,"Camino de La Unión a Hueicolla, después de Las Trancas ca. 8 km antes de llegar al Monumento Nacional Alerce Costero.","A orillas de una quebrada en bosque mezcaldo de flora nativa (Nothofagus, Berberis, etc) e introducida",592,-40.2077777777778,-73.4,"F. Zapata, S. Sede",527,1-Feb-2008,"Arbusto 2 m, flor blanca",1,,,,,,,,,,,,,,,,,,,,1,,,,
FZ531,Escallonia rosea Griseb.,Chile,Los Ríos,La Unión,"Cordillera Pelada, camino entre Monumento Nacional Alerce Costero y Hueicolla","Borde de bosque de Nothofagus y Alerce (Fitzroya sp). Con Desfontainia, Berberis. Suelo rocoso de arenisca",899,-40.1772222222222,-73.4408333333333,"F. Zapata, S. Sede",531,2-Feb-2008,"Arbusto 1.7 m, madera jóven rojo muy fuerte, flor blanco níveo, ovario rojizo",1,,,,,,,,,,,,,,,,,,,,1,,,,
FZ532,Escallonia rosea Griseb.,Chile,Los Ríos,La Unión,"Cordillera Pelada, camino entre Monumento Nacional Alerce Costero y Hueicolla","Borde de bosque de Nothofagus y Alerce (Fitzroya sp). Con Desfontainia, Berberis. Suelo rocoso de arenisca",900,-40.1772222222222,-73.4405555555556,"F. Zapata, S. Sede",532,2-Feb-2008,"Arbusto 2 m, madera jóven rojo muy fuerte, flor blanco níveo, ovario rojizo",1,,,,,,,,,,,,,,,,,,,,1,,,,
GS49,Escallonia rosea Griseb.,Chile,Aysen,Paso Ventisquero,Puerto Puyuhuapi,,500,-44.3333333333333,-72.5263888888889,G.H. Schwabe,49,28-Dec-1939,,,1,,,,,,,,,,,,,,,,,,,,,,,
MC12841,Escallonia rosea Griseb.,Chile,Los Rios,La Unión,"West slope of Cordillera pelada, 3.1 km by road west of El Mirador on road between La Unión and Punta Hueicolla","Drier area near bog of Astelia, Donatia, Gaimardia with scattered patches of Sphagnum",840,-40.1166666666667,-73.5666666666667,M.R. Crosby,12841,18-Feb-1976,"Shrub to 2m, flowers white",1,,,,,,,,,,,,,,,,,,,,,,,,
MG3452,Escallonia rosea Griseb.,Chile,Los Lagos,Llanquihue,"Vicente Perez Rosales National Park, upper slopes of Volcán Osorno",Sparsely vegetated volcanic slopes,200,-41.1666666666667,-72.5,M.F. Gardner,3452,10-Jan-1986,Flowers white,,,,,,,,,,1,,,,,,,,,,,,,,,
OZ8661,Escallonia rosea Griseb.,Argentina,Santa Cruz,Lake Argentina,,Border of lake Argentina,185,-50.3319444444444,-72.5030555555556,O. Zöllner,8661,2-Feb-1976,,1,,,,,,,,,,,,,,,,,,,,,,,,
FZ392,Escallonia rosea Griseb.,Chile,Biobio,Chillán,Ascenso a Termas de Chillán,"A orillas de una quebrada en medio del bosque nativo de Nothofagus, Chusquea y Alstroemeria (flor naranja). Suelo muy húmedo cubierto completamente por briófitos",1472,-36.9180555555556,-71.4280555555556,"F. Zapata, S. Sede",392,22-Jan-2008,"Arbusto 2 m, botnoes florales y flores rosado pálido, cáliz verde",1,,,,,,,,,,,,,,,,,,,,1,,,,
FZ394,Escallonia rosea Griseb.,Chile,Biobio,Chillán,En camino a Termas de Chillán,"En borde de quebrada con suelo completamente humedo y anegado. Crece con Chusquea, Hypericum y Mimulus",1662,-36.9075,-71.4113888888889,"F. Zapata, S. Sede",394,22-Jan-2008,"Arbusto 1.8 m, muy ramificado, flores rosado intenso con cáliz verde",1,,,,,,,,,,,,,,,,,,,,1,,,,
FZ395,Escallonia rosea Griseb.,Chile,Biobio,Chillán,En camino a Termas de Chillán,"En borde de quebrada con suelo completamente humedo y anegado. Crece con Chusquea, Hypericum y Mimulus",1662,-36.9075,-71.4113888888889,"F. Zapata, S. Sede",395,22-Jan-2008,"Arbsuto 1 m, botnoes florales rosados y flores rosadas",1,,,,,,,,,,,,,,,,,,,,1,,,,
FZ464,Escallonia rosea Griseb.,Chile,Maule,Curicó,"Reserva Nacional Radal Siete Tazas, Sendero los Chiquillanes, por el desvío del sendero hacia vertiente El Canelo","En medio de bosque maduro de Nothofagus, muy cerca de la quebrada. Creciendo con Drymis, Fuchsia",1328,-35.4661111111111,-70.9772222222222,"F. Zapata, S. Sede",464,27-Jan-2008,"Arbsuto 2.3 m con ramificaciones muy largas; hojas pubescentes (rato en E. rosea); flores rosado muy pálido, casi blanco",1,,,,,,,,,,,,,,,,,,,,1,,,,
FZ466,Escallonia rosea Griseb.,Chile,Maule,Curicó,"Reserva Nacional Radal Siete Tazas, Sendero los Chiquillanes, por el desvío del sendero hacia vertiente El Canelo","En medio de bosque maduro de Nothofagus, muy cerca de la quebrada. Creciendo con Drymis, Fuchsia. Suelo muy húmedo cubierto por briófitos",1328,-35.4661111111111,-70.97725,"F. Zapata, S. Sede",466,27-Jan-2008,"Arbusto 3 m, flores muy grandes (más grandes de lo usual en esta especie) de color rosado intenso, con la parte apical rosado pálido; algunos frutos viejos",1,,,,,,,,,,,,,,,,,,,,1,,,,
FZ470,Escallonia rosea Griseb.,Chile,Maule,Curicó,"Reserva Nacional Radal Siete Tazas, Sendero los Chiquillanes, final del sendero llegando al parque Inglés",Quebrada en medio de bosque nativo,1312,-35.4691666666667,-70.9722222222222,"F. Zapata, S. Sede",470,27-Jan-2008,"Arbusto 3 m, flores rosado intenso con parte apical de los pétalos rosado pálido",1,,,,,,,,,,,,,,,,,,,,1,,,,
FZ477,Escallonia rosea Griseb.,Chile,Maule,Talca,"Vilches Alto, Reserva Nacional Altos del Lircay, sendero hacia la laguna del Alto","En medio de bosque maduro de Nothofagus, en un cañón donde se acumula mucha humedad; bosque denso con dosel del 20 m, hojarasca densa, suelo muy húmedo",1661,-35.5966666666667,-71.0175,"F. Zapata, S. Sede",477,28-Jan-2008,"Arbsuto 2 m, hojas de gran tamaño, flores rosadas",1,,,,,,,,,,,,,,,,,,,,1,,,,
MG291,Escallonia rosea Griseb.,Chile,Maule,Linares,Reserva Nacional Los Bellotos del Melado,"Quebrada leading to Cerro El Melado, rocky streamside margins",1374,-35.8561944444444,-71.0955555555555,"M.F. Garnder, P. Hechenleitner, C. Martinez, P.I. Thomas",291,28-Jan-2003,Evergreen shrub to 2 m or more. Flowers white,,,,,,,,,,1,,,,,,,,,,,,,,,
MG296,Escallonia rosea Griseb.,Chile,Maule,Linares,Reserva Nacional Los Bellotos del Melado,"Quebrada leading to Cerro El Melado, rocky streamside margins",1374,-35.8562222222222,-71.0955277777778,"M.F. Garnder, P. Hechenleitner, C. Martinez, P.I. Thomas",296,28-Jan-2003,Shrub to 2 m,,,,,,,,,,1,,,,,,,,,,,,,,,
MG4409,Escallonia rosea Griseb.,Chile,Maule,Talca,Vilches Alto,Undisturbed mixed native forest dominates by Nothofagus spp.,1500,-35.5,-71.1666666666667,"M.F. Gardner, S.H. Knees, M.L. De Vore",4409,21-Jan-1990,"Shrub to 4 m, foliage very softly pubsecent, flowers rich pink in terminal racemes",,,,,,,,,1,1,,,,,,,,,,,,,,,
MG85,Escallonia rosea Griseb.,Chile,Maule,Talca,"Reserva Nacional Radal Siete Tazas, Sector Parque Inglés, Sendero los Chiquillanes",Nothofagus obliqua and N. dombeyi forest,1341,-35.4658055555556,-70.9764166666667,"M.F. Garnder, P. Hechenleitner, C. Martinez, P.I. Thomas",85,24-Jan-2003,"Shrub to 3 m tall, new growth with soft hairs on stem . Flowers blushed pale rose",,,,,,,,,,1,,,,,,,,,,,,,,,
MG86,Escallonia rosea Griseb.,Chile,Maule,Talca,"Reserva Nacional Radal Siete Tazas, Sector Parque Inglés, Sendero los Chiquillanes",Nothofagus obliqua and N. dombeyi forest,1341,-35.4658333333333,-70.9763888888889,"M.F. Garnder, P. Hechenleitner, C. Martinez, P.I. Thomas",86,24-Jan-2003,"Shrub to 3 m tall, stem glabrous, flowers wine-red outer, pale pink within",,,,,,,,,,1,,,,,,,,,,,,,,,
TP14215,Escallonia rosea Griseb.,Chile,Araucania,Malleco,"Las Varas, About 14 km from Curacautín, on the road to Victoria.",Open woodland by a little stream,500,-38.3263888888889,-72.0613888888889,T.M. Pedersen,14215,13-Jan-1986,"Shrub 3 m, flowers red",1,,,,,,,,,,,,,,,,,,,,,,,,
CE10571,Escallonia alpina Poepp. ex DC.,Chile,Osorno,Antillanca,Parque Nacional Puyehue,"Foret a Nothofagus, a la limte de la vegetation arborescente",1050,-40.75,-72.15,C. Evrard,10571,26-Jan-1985,"Sous-arbuste 80 cm de haut, fl. Roses",1,,,,,,,,,,,,,,,,,,,,,,,,
CE10626,Escallonia alpina Poepp. ex DC.,Chile,Los Lagos,Chaitén,"Santa Lucía, near Carretera Austral, a 81 km de Chaitén",Foret a Nothofagus dombeyi,600,-43.4166666666667,-73.3594444444444,C. Evrard,10626,9-Feb-1985,"Arbuste 2 m de haut, jeunes fr",,,,,,,,,,,,1,,,,,,,,,,,,,
F15998,Escallonia alpina Poepp. ex DC.,Chile,Araucania,Cautín,Volcán Villarica,,1200,-39.3833333333333,-71.9833333333333,F.W. Hunnewell,15998,13-Jan-1939,,,,,,,,1,,,,,,,,,,,,,,,,,,
FZ331,Escallonia alpina Poepp. ex DC.,Chile,Santiago,Santiago,"Valle del rio Mapocho, Villa Paulina, Yerba Loca","Subiendo al Nevado, cerca de una depresión húmeda. Creciendo con Fabiana sp y Escallonia myrtoidea",2033,-33.3005555555556,-70.3180555555555,F. Zapata,331,12-Jan-2008,"Arbusto 80 cm, madera amarillosa, flores rosadas",1,,,,,,,,,,,,,,,,,,,,1,,,,
FZ338,Escallonia alpina Poepp. ex DC.,Chile,Santiago,Santiago,"Valle del rio Mapocho, Villa Paulina, Yerba Loca","Subiendo a Nevado a orillas del río, en pequeño matorral altoandino con Berberis, Loasaceae, Baccharis",1980,-33.2963888888889,-70.3144444444444,F. Zapata,338,12-Jan-2008,"Arbusto 1.7 m, muy ramificado desde la base formando un arbusto frondoso! flores de color rojo intenso con tintes blancos en la base de pétalos; este color de pétalos es completamente diferente al color de los individuos de E. alpina que recolecté cuando E.alpina crecia con más individuos de E. myrtoidea en simpatría (en esa localidad hay muy pocos individuos de E. myrtoidea)",1,,,,,,,,,,,,,,,,,,,,1,,,,
FZ400,Escallonia alpina Poepp. ex DC.,Chile,Biobio,Nuble,"Chillán, Termas de Chillán, Cerro Fumarolas","Subiendo al cerro a ca. 100 m del primer cráter en una depresión húmeda formando un gran parche de E. alpina.  Crece a la sombra de una gran roca; el suelo está un poco seco por ser verano y hay algunas rocas muy grandes en medio del pastizal.  Crece con flora típica altoandina (arrosetada): Apiaceae, Rosaceae, Calceolaria, Plantago Lathyrus, Adesmia, Santalaceae",1912,-36.9052777777778,-71.4033333333333,"F. Zapata, S. Sede",400,22-Jan-2008,"Arbusto 50 cm, flores rojizas. Muchas moscas y abjeas visitando las flores",1,,,,,,,,,,,,,,,,,,,,1,,,,
FZ401,Escallonia alpina Poepp. ex DC.,Chile,Biobio,Nuble,"Chillán, Termas de Chillán, Cerro Fumarolas","Subiendo al cerro a ca. 100 m del primer cráter en una depresión húmeda formando un gran parche de E. alpina.  Crece a la sombra de una gran roca; el suelo está un poco seco por ser verano y hay algunas rocas muy grandes en medio del pastizal.  Crece con flora típica altoandina (arrosetada): Apiaceae, Rosaceae, Calceolaria, Plantago Lathyrus, Adesmia, Santalaceae",1914,-36.9052777777778,-71.4036111111111,"F. Zapata, S. Sede",401,22-Jan-2008,"Arbusto 30 cm, flores rosado muy pálido! creciendo junto a otras formas de E. alpina con flores rosado más oscuro o aún más rojizo.  Muchas moscas y abejas visitando flores",1,,,,,,,,,,,,,,,,,,,,1,,,,
FZ416,Escallonia alpina Poepp. ex DC.,Chile,Biobio,Nuble,"Antuco, Parque Nacional Laguna del Laja, pasando refugio, frente a laguna (apenas empieza la laguna).","Terreno pedregoso, suelo volcánico, lugar muy agreste con fuertes vientos",1256,-37.3780555555556,-71.3622222222222,"F. Zapata, S. Sede",416,22-Jan-2008,"Arbustro rastrero muy ramificado a nivel del suelo, creciendo sobre roca volcánica, ca. 20 cm de altura; flor rojiza",1,,,,,,,,,,,,,,,,,,,,1,,,,
FZ422,Escallonia alpina Poepp. ex DC.,Chile,Biobio,Nuble,"Antuco, Parque Nacional Laguna del Laja, pasando refugio, frente a laguna (apenas empieza la laguna).","Terreno pedregoso, suelo volcánico, lugar muy agreste con fuertes vientos",1259,-37.3780555555556,-71.3622222222222,"F. Zapata, S. Sede",422,22-Jan-2008,"Arbustro rastrero muy ramificado a nivel del suelo, creciendo sobre roca volcánica, ca. 20 cm de altura; flor rojiza",1,,,,,,,,,,,,,,,,,,,,1,,,,
FZ424,Escallonia alpina Poepp. ex DC.,Chile,Biobio,Nuble,"Antuco, Parque Nacional Laguna del Laja, pasando refugio, frente a laguna (apenas empieza la laguna).","Terreno pedregoso, suelo volcánico, lugar muy agreste con fuertes vientos",1255,-37.3780555555556,-71.3622222222222,"F. Zapata, S. Sede",424,22-Jan-2008,"Arbusto rastrero muy ramificado a nivel del suelo, ca. 20 cm de altura y resguardado del viento bajo la sombra de grtandes rocas, muchas flores rojas",1,,,,,,,,,,,,,,,,,,,,1,,,,
FZ479,Escallonia alpina Poepp. ex DC.,Chile,Maule,Talca,"Vilches Alto, Reserva Nacional Altos de Lircay, sendero hacia Laguna del Alto",Parte alta del sendero cuando se acaba el bosque y empieza vegetación altoandina. En una quebrada con pequeño arbolito de Nothofagus. En simpatría absoluta con E. virgata,1913,-35.5997222222222,-71.0116666666667,"F. Zapata, S. Sede",479,28-Jan-2008,"Arbusto 80 cm, flor rosada",1,,,,,,,,,,,,,,,,,,,,1,,,,
FZ489,Escallonia alpina Poepp. ex DC.,Chile,Maule,Talca,"Vilches Alto, Reserva Nacional Altos de Lircay, sendero hacia Laguna del Alto",A orillas de una quebrada en medio de pastizal altoandino (principalmente con Chusquea) formando un gran parche de E. alpina.  En la quebrada también hay Berberis.  En la parte más abajo de la quebrada (pocos metros más abajo) también crece E. virgata (FZ-484 onwards),1921,-35.5994444444444,-71.01,"F. Zapata, S. Sede",489,28-Jan-2008,"Arbusto 1 m, flor rojiza",1,,,,,,,,,,,,,,,,,,,,1,,,,
FZ518,Escallonia alpina Poepp. ex DC.,Chile,Los Lagos,Osorno,"Parque Nacional Puyehue, subiendo a volcán Casablanca, por detrás del refugio Andino","Parte alta del bosque de Nothofagus en transición a vegetación típica altoandina, con algunos poco Nothofagus, Gaultheria, Drymis. Suelo volcánico",1130,-40.7744444444444,-72.2002777777778,"F. Zapata, S. Sede",518,1-Feb-2008,"Arbusto 1m, flores rosadas",1,,,,,,,,,,,,,,,,,,,,1,,,,
GIII52,Escallonia alpina Poepp. ex DC.,Chile,Santiago,,In valle flum. Yeso,,2300,-33.3333333333333,-70.25,Gay,"III, 52",1-Jan-1933,Flore rubeo,1,,,,,,,,,,,,,,,,,,,,,,,,
GS2237,Escallonia alpina Poepp. ex DC.,Argentina,Neuquén,Picunches,Ruta provincial 13 y arroyo Primeros Pinos,,1900,-38.8666666666667,-70.4833333333333,G. Seijo,2237,10-Jan-2000,"Arbusto de 2 m, flores color rosado, con estrías mas oscuras.",1,,,,,,,,1,,,,,,1,,,,,,,,,,
GS2641,Escallonia alpina Poepp. ex DC.,Chile,Magallanes,Puerto Natales,"Parque Nacional Torres del Paine, 3 hrs by car north of Puerto Natales, southern Chile, southern extremes of the Andes",Trip from Guarderia Laguna Azul along boundary of park to Nothofagus forest. Meadow just below forest. Haevy shade,600,-50.8677777777778,-72.7952777777778,"G.L. Sobel, J. Strudwick",2641,1-Jan-1981,"Spreading shrub only ca. 30 cm high, possibly higher in places with more light. Flowers white to pale pink. Grassy area",,1,,,,,,,,,,,,,,,,,,,,,,,
JK20,Escallonia alpina Poepp. ex DC.,Argentina,Chubut,Valle de la Laguna Blanca,,,700,-45.8666666666667,-71.25,J. Koslowsky,20,30-Oct-1906,,,,,,,,,,,,,,,1,,,,,,,,,,,
JS4381,Escallonia alpina Poepp. ex DC.,Chile,Nuble,Termas de Chillán,ca. 300 m above Termas de Chillán,Rocky hillside,1200,-36.8333333333333,-71.4166666666667,"J.C. Solomon, A. Solomon",4381,17-Jan-1979,"Shrub +/- 70 cm, flowers red, leaves dark green above, pale green beneath",1,,,,,,,,,,,,,,,,,,,,,,,,
KR4614,Escallonia alpina Poepp. ex DC.,Argentina,RIo Negro,Bariloche,Cerro Lopez,,1650,-41.1,-71.5833333333333,"K. Rahn, S. Ødum",4614,2-Mar-1979,,1,,,,,,,,,,,,,,,,,,,,,,,,
MF6193,Escallonia alpina Poepp. ex DC.,Chile,Magallanes,Ultima Esperanza,"Torres del Paine, Lago Gray",Notofagus pumilo forest,50,-51.1272222222222,-73.1302777777778,"M.F. Gardner, S.G. Knees",6193,9-Dec-1999,Shrub to 1.5 m (often less). Flowers deep pink (sometimes white or pale pink),,,,,,,,,,1,,,,,,,,,,,,,,,
MG6031,Escallonia alpina Poepp. ex DC.,Chile,Magallanes,Ultima Esperanza,"Torres del Paine, mountain route from Hosteria Los Torres near swing bridge of the Rio Ascencio",Steep grassy slopes,500,-50.9833333333333,-72.85,"M.F. Gardner, S.G. Knees",6031,4-Nov-1996,Evergreen shrub,,,,,,,,,,1,,,,,,,,,,,,,,,
MG6904,Escallonia alpina Poepp. ex DC.,Chile,Araucania,Malleco,"Cunco, Cordillera de los Andes, Rersva Nasampulli",Hill summit of Araucaria araucana and Nothofagus forest with rocky outcrops,1357,-39.01875,-71.6855833333333,"M.F. Gardner, S.G. Knees",6904,1-Jan-2004,"Ascending shrub to 80 cm, with white and rosey pink flowers. Leaves glossy, pale beneath, mid-greed above",,,,,,,,,,1,,,,,,,,,,,1,,,,
OZ8086,Escallonia alpina Poepp. ex DC.,Chile,Los Lagos,Osorno,Antillanca,On the Volcán Antillanca,1000,-40.75,-72.15,O. Zöllner,8086,9-Feb-1974,,1,,,,,,,,,,,,,,,,,,,,,,,,
PB84,Escallonia alpina Poepp. ex DC.,Chile,Maule,Talca,"Cordillera de los Andes, Valle del Maule",West facing margin of stream side,1750,-35.9452777777778,-70.5080555555556,"P. Baxter, P. Brownless, M. Bustos, M. Gardner, K. Matthews, H.S. Maxwell, D. Rae",84,5-Feb-1998,"Spreading shrub to 2 m, flowers deep pinkish red, sometimes paler",,,,,,,,,,1,,,,,,,,,,,,,,,
PB972,Escallonia alpina Poepp. ex DC.,Chile,Araucania,Malleco,"Curacautín, Parque Nacional Conguillio, path to Sierra Nevada",Dry volcanic ash slopes,1663,-38.6197222222222,-71.5991666666667,"P. Brownless, M.F. Gardner, P. Hechenleitner, P. Hollingsworth, A. Lovett, C. Martínez, P. Thomas - Darwin Chilean Intiative",972,26-Jan-2004,Semi-prostrate shrub with deep red flowers,,,,,,,,,,1,,,,,,,,,,,,,,,
PH335,Escallonia alpina Poepp. ex DC.,Chile,Magallanes,Ultima Esperanza,"Torres del Paine, Monumento Nacional Cueva del Milodón","Creciendo en asociación con Discaria chacaye, Embothrium coccineum, Empetrum rubrum, Escallonia virgata, Gaultheria mucronata y Nothofagus antartica",140,-51.5679444444444,-72.6178611111111,"P. Hechenleitner, M.F. Gardner, C. Martínez, R. Ennos",335,22-Feb-2006,Arbusto de hasta 1.5 m con frutos,,,,,,,,,,1,,,,,,,,,,,1,,,,
PM69850,Escallonia alpina Poepp. ex DC.,Argentina,Santa Cruz,Parque Nacional Los Glaciares,Lago Argentino,,800,-50.4744444444444,-72.4805555555556,P. Moreau,69850,3-Feb-1955,,,,,,,,,,,,,,,1,,,,,,,,,,,
RF4349,Escallonia alpina Poepp. ex DC.,Argentina,Neuquén,Norquin,"2 km de Copahue en dirección a Caviahue, por ruta prov. 27",Estepa,1940,-37.8344444444444,-71.0908333333333,"R.H. Fortunato, M. Elechosa, R. Gandullo",4349,1-Mar-1994,"Arbusto de 1-1.5m, flor roja",,1,,,,,,,,,,,,,,,,,,,,,,,
RWs.n.,Escallonia alpina Poepp. ex DC.,Argentina,Rio Negro,Bariloche,"Cerro Catedral, southwest of Bariloche.",Moderately dense vegetation. Rocky outcrop area near Superior Station. ,1850,-41.2166666666667,-71.5,R.T. Ward,s.n.,8-Feb-1964,,1,,,,,,,,,,,,,,,,,,,,,,,,
ST2285,Escallonia alpina Poepp. ex DC.,Chile,Santiago,Santiago,Parque Nacional El Morado,Ligada a cursos de Agua,2300,-33.8166666666667,-70.0836111111111,"S. Teillier, L. Gonzalez",2285,29-Dec-1990,"Arbusto de hasta 150 cm, flores rosado-purpureas",1,,,,,,,,,,,,,,,,,,,,,,,,
TP14391,Escallonia alpina Poepp. ex DC.,Chile,Aisén,Coihaique,"Reserva Forestal Cerro Castillo, behind the forester's house",Dry Stream bed,1000,-45.8861111111111,-72.1258333333333,T.M. Pedersen,14391,6-Feb-1986,"Low shrub, flowers pink",1,,,,,,,,,,,,,,,,,,,,,,,,
TP14473,Escallonia alpina Poepp. ex DC.,Chile,Magallanes,Ultima Esperanza,Shores of Laguna Grey,On rocky ground,20,-51.5825,-72.7594444444444,T.M. Pedersen,14473,24-Feb-1986,"Low shrub, flowers red",1,,,,,,,,,,,,,,,,,,,,,,,,
TP14476,Escallonia alpina Poepp. ex DC.,Chile,Magallanes,Ultima Esperanza,Shores of Laguna Grey,On rocky ground,20,-51.5825,-72.7588888888889,T.M. Pedersen,14476,24-Feb-1986,"Low shrub, occasionally to 1 m.",1,,,,,,,,,,,,,,,,,,,,,,,,
EW1264,Escallonia alpina Poepp. ex DC. var. alpina ,Chile,Cautín,,Volcán Llaima,,1300,-38.7,-71.7166666666667,E. Werdermann,1264,1-Feb-1927,,1,1,1,,1,,1,,,1,,,1,,,,,,,,,,,,
EW1305,Escallonia alpina Poepp. ex DC. var. alpina ,Chile,Nuble,Baños de Chillán,Aguas Calientes,,2100,-36.9,-71.5666666666667,E. Werdermann,1305,1-Mar-1927,,1,1,1,,1,,,,,1,,,,,,,,,,,,,,,
EW667,Escallonia alpina Poepp. ex DC. var. alpina ,Chile,Llanquihue,,Volcán Yates,,1200,-41.7547222222222,-72.4011111111111,E. Werdermann,667,1-Mar-1925,,1,1,1,1,1,,1,,,1,,,,,,,,,,,,,,,
M2048,Escallonia alpina Poepp. ex DC. var. alpina,Chile,Araucania,Victoria,"Cautín, Termas del Rio Blanco",,1200,-38.5780555555556,-71.6166666666667,Montero,2048,9-Jan-1935,,,,,,,,,1,,,,,,,,,,,,,,,,,
WE24190,Escallonia alpina Poepp. ex DC. var. alpina ,Chile,Magallanes,Ultima Esperanza,"Cerro Doratea, 5 km north of Puerto Natales",Semishade of Nothofagus talus slope,50,-51.7333333333333,-72.5166666666667,"W.J. Eyerdam, A.A. Beetle, E. Grondona",24190,8-Jan-1939,"Shrub to 0.5 m, corolla white or pink-tinged",1,,,,1,,1,,1,,,,,,,,,,,,,,,,
JW5159,Escallonia alpina Poepp. ex DC. var. carmelitana (Meyen) Acevedo & Kausel ,Chile,Valparaiso,,"Cerro Vizcachas, Ridge of Cerro","Mountain flats, among open growth of xerophytic shrubs",2100,-33.0833333333333,-70.7666666666667,J. West,5159,15-Jan-1936,"Shrub 1-1.5 m high; dark crimson flower. Only few spcms seen, mostly near a small sping. Plant forms dense, twiggy, hemispherical bushes",1,,,,1,,1,,,,,,,,,,,,,,,,,,
ZR138,Escallonia alpina Poepp. ex DC. var. carmelitana (Meyen) Acevedo & Kausel,Argentina,Neuquén,Loncopué,Cajón Chenque Pehuén,Valle a la entrada del Cajón,1776,-38.1,-70.9166666666667,"Z. Rúgolo, E. Agrasar",138,14-Jan-1965,Arbusto 0.70 m,,,,,,,,1,,,,,,,,,,,,,,,,,
CE10632,Escallonia virgata (Ruiz & Pav.) Pers.,Chile,Los Lagos,Chaitén,"Santa Lucía, near Carretera Austral, a 81 km de Chaitén",Pature arboré le long du Rio Frío,330,-43.4166666666667,-73.3583333333333,C. Evrard,10632,10-Feb-1985,"Arbuste 2 m de haut, fl. blanches",,,,,,,,,,,,1,,,,,,,,,,,,,
EW1253,Escallonia virgata (Ruiz & Pav.) Pers.,Chile,Araucania,Cautín,Volcán Llaima,,1000,-38.6841666666667,-71.8472222222222,E. Werdermann,1253,1-Feb-1927,,1,1,1,1,1,,1,,,1,,,1,,,,,,,,,,,,
FZ111,Escallonia virgata (Ruiz & Pav.) Pers.,Chile,Los Lagos,Osorno,"Parque Nacional Puyehue, camino a Volcán Casablanca, ñadi mirador los Mallines",,715,-40.7669444444444,-72.2922222222222,F. Zapata,111,26-Oct-2005,"Arbusto muy común de 50 -80 cm, ramas jóvenes rojizas, hojas jóvenes con márgenes rojizos, no flores, no frutos.",1,,,,,,,,,,,,,,,,,,,,1,,,,
FZ370,Escallonia virgata (Ruiz & Pav.) Pers.,Chile,Biobio,Angol,"Parque Nacional Nahuelbuta, salida hacia Cañete viniendo de Angol, cerca a casa de guardaparques","A orillas de un arroyo, en bosque con Nothofagus, Araucaria, Baccharis, Chusquea",1206,-37.8088888888889,-73.0166666666667,"F. Zapata, S. Sede",370,20-Jan-2008,"Arbusto 2 m, muy ramificado, madera jóven rojiza, flores con base del cáliz rosado oscuro y pétalos blancos",1,,,,,,,,,,,,,,,,,,,,1,,,,
FZ460,Escallonia virgata (Ruiz & Pav.) Pers.,Chile,Araucania,Victoria,"Curacautín, camino de Termas de Tolhuaca a Parque Nacional Tolhuaca-laguna Malleco, ca. 4km antes de llegar al parque","En planicie que presumiblemente se inunda en época de lluvias.  Estas planicies aparecen en medio del bosque nativo de Nothofagus y Araucaria.  En las planicies también hay Chusquea, Berberis y Calamagrostris (??)",940,-38.2186111111111,-71.7941666666667,"F. Zapata, S. Sede",460,24-Jan-2008,"Arbusto 1 m, flores blancas y las flores jóvenes rosado muy pálido",1,,,,,,,,,,,,,,,,,,,,1,,,,
FZ485,Escallonia virgata (Ruiz & Pav.) Pers.,Chile,Maule,Talca,"VIlches Alto, Reserva Nacional Altos del Lircay, sendero hacia la laguna del Alto",A orillas de una quebrada en medio de un pastizal altoandino (principalmente con Chusquea) formando un gran parche. En la quebrada también crece Mimulus y en la parte más alta de la quebrada también hay E. alpina (FZ-487),1930,-35.5994444444444,-71.0102777777778,"F. Zapata, S. Sede",485,28-Jan-2008,"Arbusto 1.5 m, flores blancas, ovario y disco rojizo",1,,,,,,,,,,,,,,,,,,,,1,,,,
FZ508,Escallonia virgata (Ruiz & Pav.) Pers.,Chile,Los Lagos,Osorno,"Parque Nacional Puyehue, camino a Volcán Casablanca, ñadi mirador los Mallines","ñadi (Mallin), terreno completamente inundado, con Chusquea, Nothofagus, Berberis y diferentes especies de musgos",715,-40.7675,-72.2927777777778,"F. Zapata, S. Sede",508,1-Feb-2008,"Arbusto 1 m, flores blancas",1,,,,,,,,,,,,,,,,,,,,1,,,,
GB1213,Escallonia virgata (Ruiz & Pav.) Pers.,Argentina,Neuquén,Lacar,Alrededores del Lago Currué Chico,,910,-39.9047222222222,-71.3355555555555,"G.E. Barboza, J. Chiapella, A.M. Matesevach, E.M. Filippa, F. Chiarini",1213,23-Feb-2005,,,,,,,,,,,,,,,1,,,,,,,,,,,
